time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.091884855,-0.15807129442691803,0.29937744140625,0.387993186712265,0.02384389191865921,0.02957175485789776,0.016384350135922432
0.092822659,-0.11017090082168579,0.3736230731010437,0.4334985613822937,0.03263549506664276,0.043425191193819046,0.019048472866415977
0.118401714,0.03353027626872063,0.3927832245826721,0.24668702483177185,0.023577479645609856,0.03823015093803406,0.01571832038462162
0.172158091,-0.05029541254043579,0.40715333819389343,0.37601807713508606,0.02437671646475792,0.03889618441462517,0.019048472866415977
0.239187561,-0.06706055253744125,0.28261232376098633,0.36643800139427185,0.024776335805654526,0.03956221416592598,0.013853435404598713
0.301253395,0.021555176004767418,0.15567627549171448,0.34248781204223633,0.023977098986506462,0.027706870809197426,0.01918167807161808
0.343887701,0.08861572295427322,0.31135255098342896,0.3784131109714508,0.021845800802111626,0.026907632127404213,0.01478587742894888
0.424135137,-0.13172608613967896,0.29698243737220764,0.4143384099006653,0.02677442505955696,0.027040839195251465,0.016650762408971786
0.485752828,-0.05269043147563934,0.15807129442691803,0.5628296136856079,0.03849656507372856,0.04808740317821503,0.017183586955070496
0.555647586,0.03592529520392418,0.1892065554857254,0.3927832245826721,0.02970496006309986,0.037430912256240845,0.014652671292424202
0.625436384,-0.07903564721345901,0.1796264797449112,0.34727784991264343,0.02091335877776146,0.022378623485565186,0.017316794022917747
0.691979837,-0.031135255470871925,0.2251318395137787,0.44068360328674316,0.023444274440407753,0.040361449122428894,0.017716411501169205
0.763039198,-0.02395019680261612,0.30656251311302185,0.3305127024650574,0.021046563982963562,0.03316831961274147,0.016117937862873077
0.822870325,-0.02395019680261612,0.37601807713508606,0.40236330032348633,0.03210267052054405,0.03596564754843712,0.015451908111572266
0.864632612,-0.0646655336022377,0.32572266459465027,0.2754272520542145,0.03196946531534195,0.041027478873729706,0.015851525589823723
0.924670087,-0.031135255470871925,0.1293310672044754,0.35685792565345764,0.022911448031663895,0.03436717391014099,0.017183586955070496
1.016815627,-0.13651612401008606,0.4287085235118866,0.4143384099006653,0.021712595596909523,0.03436717391014099,0.01425305288285017
1.081066714,0.09580078721046448,0.1293310672044754,0.2395019680261612,0.015451908111572266,0.024776335805654526,0.01798282377421856
1.15730075,-0.16765137016773224,0.35206788778305054,0.3496728539466858,0.025975190103054047,0.025442365556955338,0.019847707822918892
1.207075019,-0.29219239950180054,0.29219239950180054,0.2706372141838074,0.036365263164043427,0.046222515404224396,0.015984732657670975
1.286693499,0.10059082508087158,0.1389111429452896,0.37601807713508606,0.028905723243951797,0.051417555660009384,0.015185495838522911
1.35300267,-0.15088623762130737,0.38559815287590027,0.3975732624530792,0.020646944642066956,0.021179771050810814,0.01691717468202114
1.423535582,-0.10538086295127869,0.1341211050748825,0.4646338224411011,0.017183586955070496,0.02797328121960163,0.01851564645767212
1.531204027,-0.03592529520392418,0.1939965933561325,0.32572266459465027,0.027174044400453568,0.0348999984562397,0.013587022200226784
1.578103351,-0.045505374670028687,0.3376977741718292,0.4837939739227295,0.027573661878705025,0.027706870809197426,0.01678396761417389
1.666908511,-0.1389111429452896,0.1987866312265396,0.4790039360523224,0.038629766553640366,0.046755339950323105,0.015185495838522911
1.743799092,-0.37601807713508606,-0.3233276605606079,0.41194337606430054,0.01864885538816452,0.05980953946709633,0.02371068485081196
1.820729997,0.4502636790275574,-0.2778222858905792,0.328117698431015,-0.053149234503507614,0.037430912256240845,0.03130343183875084
1.903767073,-0.2586621344089508,1.2981005907058716,0.15088623762130737,0.010922900401055813,-0.012254960834980011,0.0
1.952118257,-0.10538086295127869,0.14370118081569672,0.3832031488418579,0.08072289824485779,0.1104278564453125,0.0
2.048407634,0.1796264797449112,0.3736230731010437,0.3496728539466858,0.016117937862873077,-0.0059942747466266155,0.013187403790652752
2.190926975,0.1796264797449112,0.1892065554857254,0.34727784991264343,0.005461450200527906,0.002930534305050969,0.025309158489108086
2.249390391,-0.29219239950180054,0.19160157442092896,0.42152345180511475,0.0233110673725605,0.03623206168413162,0.019980914890766144
2.285626909,-0.03353027626872063,0.3353027403354645,0.2586621344089508,0.04742136970162392,0.06633663922548294,0.015451908111572266
2.37290097,0.07903564721345901,0.14849121868610382,0.387993186712265,0.013187403790652752,0.008125572465360165,0.016650762408971786
2.420748798,-0.028740234673023224,0.36164796352386475,0.4143384099006653,0.017716411501169205,0.01811603084206581,0.015318701043725014
2.495907642,-0.1796264797449112,0.34248781204223633,0.2395019680261612,0.021845800802111626,0.022378623485565186,0.015318701043725014
2.56197315,-0.03832031413912773,0.3233276605606079,0.1892065554857254,0.02837289869785309,0.03823015093803406,0.017716411501169205
2.604021259,-0.06227051094174385,0.14849121868610382,0.3305127024650574,0.024110304191708565,0.034500379115343094,0.015984732657670975
2.659400536,0.004790039267390966,0.2490820437669754,0.3544628918170929,0.026508014649152756,0.033434730023145676,0.016517557203769684
2.749964398,-0.06227051094174385,0.22034180164337158,0.3400927782058716,0.0262416023761034,0.03263549506664276,0.016517557203769684
2.81254316,-0.05748046934604645,0.37601807713508606,0.5771997570991516,0.026374807581305504,0.033967554569244385,0.016517557203769684
2.87314415,0.06706055253744125,0.26105713844299316,0.38559815287590027,0.023977098986506462,0.038096945732831955,0.013986640609800816
2.934098272,-0.01197509840130806,0.3832031488418579,0.3329077363014221,0.018249236047267914,0.03210267052054405,0.014919082634150982
3.011057221,-0.040715333074331284,0.2395019680261612,0.4790039360523224,0.014386259019374847,0.02557557262480259,0.014919082634150982
3.07381525,-0.016765138134360313,0.25626710057258606,0.4598437547683716,0.03263549506664276,0.046622134745121,0.013986640609800816
3.119850561,0.06227051094174385,0.30656251311302185,0.46223878860473633,0.023444274440407753,0.02837289869785309,0.01744999922811985
3.215871517,-0.05269043147563934,0.32572266459465027,0.5340893864631653,0.02970496006309986,0.03569923713803291,0.015052289701998234
3.257216939,0.007185058668255806,0.07664062827825546,0.26105713844299316,0.013187403790652752,0.025708777830004692,0.017183586955070496
3.32616736,0.02634521573781967,0.3353027403354645,0.3736230731010437,0.02091335877776146,0.03090381622314453,0.017849618569016457
